date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:44	40338/40338	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:40%20GMT	https://rooicell.co.kr/m12.php	C:/rooicel/rooicel/rooicell.co.kr/m12.html	(from https://rooicell.co.kr/)
16:17:44	40508/40508	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:41%20GMT	https://rooicell.co.kr/m13.php	C:/rooicel/rooicel/rooicell.co.kr/m13.html	(from https://rooicell.co.kr/)
16:17:45	470596/470596	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-72e44%22	http://code.jquery.com/ui/1.11.4/jquery-ui.js	C:/rooicel/rooicel/code.jquery.com/ui/1.11.4/jquery-ui.js	(from https://rooicell.co.kr/)
16:17:46	40607/40607	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:43%20GMT	https://rooicell.co.kr/product.php	C:/rooicel/rooicel/rooicell.co.kr/product.html	(from https://rooicell.co.kr/)
16:17:46	36492/36492	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:44%20GMT	https://rooicell.co.kr/product.php?cate=1	C:/rooicel/rooicel/rooicell.co.kr/product31d2.html	(from https://rooicell.co.kr/)
16:17:46	36556/36556	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:44%20GMT	https://rooicell.co.kr/product.php?cate=2	C:/rooicel/rooicel/rooicell.co.kr/productd896.html	(from https://rooicell.co.kr/)
16:17:46	37205/37205	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:45%20GMT	https://rooicell.co.kr/product.php?cate=3	C:/rooicel/rooicel/rooicell.co.kr/product044b.html	(from https://rooicell.co.kr/)
16:17:46	39830/39830	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:46%20GMT	https://rooicell.co.kr/product.php?cate=4	C:/rooicel/rooicel/rooicell.co.kr/product80e5.html	(from https://rooicell.co.kr/)
16:17:46	39424/39424	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:46%20GMT	https://rooicell.co.kr/m31.php	C:/rooicel/rooicel/rooicell.co.kr/m31.html	(from https://rooicell.co.kr/)
16:17:46	36169/36169	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:46%20GMT	https://rooicell.co.kr/m32.php	C:/rooicel/rooicel/rooicell.co.kr/m32.html	(from https://rooicell.co.kr/)
16:17:47	35954/35954	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:46%20GMT	https://rooicell.co.kr/m33.php	C:/rooicel/rooicel/rooicell.co.kr/m33.html	(from https://rooicell.co.kr/)
16:17:47	34806/34806	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:46%20GMT	https://rooicell.co.kr/m34.php	C:/rooicel/rooicel/rooicell.co.kr/m34.html	(from https://rooicell.co.kr/)
16:17:47	36301/36301	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:47%20GMT	https://rooicell.co.kr/m35.php	C:/rooicel/rooicel/rooicell.co.kr/m35.html	(from https://rooicell.co.kr/)
16:17:47	36360/36360	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:47%20GMT	https://rooicell.co.kr/m41.php	C:/rooicel/rooicel/rooicell.co.kr/m41.html	(from https://rooicell.co.kr/)
16:17:47	234/234	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Feb%202025%2007:17:47%20GMT	https://rooicell.co.kr/en	C:/rooicel/rooicel/rooicell.co.kr/en	(from https://rooicell.co.kr/)
16:17:48	234/234	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Feb%202025%2007:17:47%20GMT	https://rooicell.co.kr/cn	C:/rooicel/rooicel/rooicell.co.kr/cn	(from https://rooicell.co.kr/)
